image_id,file_name,panel,cell_model,cell_components,bacteria,treatment,antibiotic_concentration,timepoint_hours,microscopy_type,imaging_mode,z_stack,objective_magnification,zoom,channels,channel_blue,channel_green,channel_red,biological_context,notes
img_A,fig34_A_CFBE41o_PAO1GFPinfected_6hours.png,A,mono-culture,CFBE41o- epithelial cells,PAO1 GFP,untreated,0,6,confocal microscopy,fluorescence,yes,unknown,unknown,"blue,green","DAPI nuclei","PAO1 GFP bacteria","none","epithelial infection model","baseline infection in epithelial cells"
img_B,fig34_B_CFBE41o_PAO1GFPinfected_Tobramycin_6hours.png,B,mono-culture,CFBE41o- epithelial cells,PAO1 GFP,tobramycin,6,6,confocal microscopy,fluorescence,yes,unknown,unknown,"blue,green","DAPI nuclei","PAO1 GFP bacteria","none","epithelial infection + antibiotic","early antibiotic effect"
img_C,fig34_C_CFBE41o_PAO1GFPinfected_20hours.png,C,mono-culture,CFBE41o- epithelial cells,PAO1 GFP,untreated,0,20,confocal microscopy,fluorescence,yes,unknown,unknown,"blue,green","DAPI nuclei","PAO1 GFP bacteria","none","epithelial infection model","late infection / potential biofilm"
img_D,fig34_D_CFBE41o_PAO1GFPinfected_Tobramycin_20hours.png,D,mono-culture,CFBE41o- epithelial cells,PAO1 GFP,tobramycin,6,20,confocal microscopy,fluorescence,yes,unknown,unknown,"blue,green","DAPI nuclei","PAO1 GFP bacteria","none","epithelial infection + antibiotic","late antibiotic effect"
img_E,fig34_E_THP1_PAO1GFPinfected_6hours.png,E,macrophage-only,THP-1 macrophage-like cells,PAO1 GFP,untreated,0,6,confocal microscopy,fluorescence,yes,unknown,unknown,"blue,green,red","DAPI nuclei","PAO1 GFP bacteria","THP-1 macrophages","immune response model","early macrophage interaction"
img_F,fig34_F_THP1_PAO1GFPinfected_Tobramycin_6hours.png,F,macrophage-only,THP-1 macrophage-like cells,PAO1 GFP,tobramycin,6,6,confocal microscopy,fluorescence,yes,unknown,unknown,"blue,green,red","DAPI nuclei","PAO1 GFP bacteria","THP-1 macrophages","immune + antibiotic","early antibiotic + immune"
img_G,fig34_G_THP1_PAO1GFPinfected_20hours.png,G,macrophage-only,THP-1 macrophage-like cells,PAO1 GFP,untreated,0,20,confocal microscopy,fluorescence,yes,unknown,unknown,"blue,green,red","DAPI nuclei","PAO1 GFP bacteria","THP-1 macrophages","immune response model","late macrophage infection"
img_H,fig34_H_THP1_PAO1GFPinfected_Tobramycin20hours.png,H,macrophage-only,THP-1 macrophage-like cells,PAO1 GFP,tobramycin,6,20,confocal microscopy,fluorescence,yes,unknown,unknown,"blue,green,red","DAPI nuclei","PAO1 GFP bacteria","THP-1 macrophages","immune + antibiotic","late antibiotic + immune"
img_I,fig34_I_CFBE41o_THP1_PAO1GFPinfected_6hours.png,I,co-culture,CFBE41o- + THP-1,PAO1 GFP,untreated,0,6,confocal microscopy,fluorescence,yes,unknown,unknown,"blue,green,red","DAPI nuclei","PAO1 GFP bacteria","THP-1 macrophages","host-pathogen interaction","early co-culture infection"
img_J,fig34_J_CFBE41o_THP1_PAO1GFPinfected_Tobramycin_6hours.png,J,co-culture,CFBE41o- + THP-1,PAO1 GFP,tobramycin,6,6,confocal microscopy,fluorescence,yes,unknown,unknown,"blue,green,red","DAPI nuclei","PAO1 GFP bacteria","THP-1 macrophages","host-pathogen + antibiotic","early treatment effect"
img_K,fig34_K_CFBE41o_THP1_PAO1GFPinfected_20hours.png,K,co-culture,CFBE41o- + THP-1,PAO1 GFP,untreated,0,20,confocal microscopy,fluorescence,yes,unknown,unknown,"blue,green,red","DAPI nuclei","PAO1 GFP bacteria","THP-1 macrophages","host-pathogen interaction","late infection / clustering"
img_L,fig34_L_CFBE41o_THP1_PAO1GFPinfected_Tobramycin_20hours.png,L,co-culture,CFBE41o- + THP-1,PAO1 GFP,tobramycin,6,20,confocal microscopy,fluorescence,yes,unknown,unknown,"blue,green,red","DAPI nuclei","PAO1 GFP bacteria","THP-1 macrophages","host-pathogen + antibiotic","late treatment effect"
